,GDP,CPI,Unemployment_Rate,Federal_Funds_Rate,10Y_Treasury_Yield,"('GDP', 'GDPC1')_pct_change","('GDP', 'GDPC1')_MA3","('GDP', 'GDPC1')_YTD_change","('GDP', 'GDPC1')_YoY_change","('CPI', 'CPIAUCSL')_pct_change","('CPI', 'CPIAUCSL')_MA3","('CPI', 'CPIAUCSL')_YTD_change","('CPI', 'CPIAUCSL')_YoY_change","('Unemployment_Rate', 'UNRATE')_pct_change","('Unemployment_Rate', 'UNRATE')_MA3","('Unemployment_Rate', 'UNRATE')_YTD_change","('Unemployment_Rate', 'UNRATE')_YoY_change","('Federal_Funds_Rate', 'FEDFUNDS')_pct_change","('Federal_Funds_Rate', 'FEDFUNDS')_MA3","('Federal_Funds_Rate', 'FEDFUNDS')_YTD_change","('Federal_Funds_Rate', 'FEDFUNDS')_YoY_change","('10Y_Treasury_Yield', 'GS10')_pct_change","('10Y_Treasury_Yield', 'GS10')_MA3","('10Y_Treasury_Yield', 'GS10')_YTD_change","('10Y_Treasury_Yield', 'GS10')_YoY_change"
,GDPC1,CPIAUCSL,UNRATE,FEDFUNDS,GS10,,,,,,,,,,,,,,,,,,,,
DATE,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,22403.435,300.356,3.4,4.33,3.53,0.0,,0.0,,0.38387779834596625,301.20300000000003,0.0,,5.882352941176472,3.5,0.0,,5.542725173210172,4.516666666666667,0.0,,6.232294617563738,3.6466666666666665,0.0,
2023-02-01,22403.435,301.509,3.6,4.57,3.75,0.0,,0.0,,0.38387779834596625,301.20300000000003,0.38387779834596625,,5.882352941176472,3.5,5.882352941176472,,5.542725173210172,4.516666666666667,5.542725173210172,,6.232294617563738,3.6466666666666665,6.232294617563738,
2023-03-01,22403.435,301.744,3.5,4.65,3.66,0.0,,0.0,,0.07794128865141747,301.20300000000003,0.46211828630027263,,-2.777777777777779,3.5,2.941176470588247,,1.7505470459518557,4.516666666666667,7.390300230946889,,-2.399999999999991,3.6466666666666665,3.682719546742219,
2023-04-01,22539.418,303.032,3.4,4.83,3.46,0.6069738859241891,,0.6069738859241891,,0.4268519009491323,302.095,0.8909427479391052,,-2.857142857142858,3.5,0.0,,3.8709677419354716,4.683333333333334,11.547344110854496,,-5.464480874316946,3.6233333333333335,-1.9830028328611804,
2023-05-01,22539.418,303.365,3.7,5.06,3.57,0.0,,0.6069738859241891,,0.10988938461946596,302.7136666666667,1.0018111840615962,,8.823529411764719,3.533333333333333,8.823529411764719,,4.761904761904745,4.846666666666667,16.85912240184757,,3.1791907514450823,3.563333333333334,1.1331444759206777,
2023-06-01,22539.418,304.003,3.6,5.08,3.75,0.0,,0.6069738859241891,,0.21030771512864366,303.46666666666664,1.2142257854013128,,-2.7027027027027084,3.5666666666666664,5.882352941176472,,0.39525691699606735,4.989999999999999,17.321016166281744,,5.042016806722693,3.5933333333333337,6.232294617563738,
2023-07-01,22780.933,304.628,3.5,5.12,3.9,1.071522787323076,,1.6850005367480492,,0.20559007641371974,303.9986666666666,1.4223121895350799,,-2.777777777777779,3.6,2.941176470588247,,0.7874015748031482,5.086666666666667,18.244803695150114,,4.0000000000000036,3.7399999999999998,10.481586402266284,
2023-08-01,22780.933,306.187,3.8,5.33,4.17,0.0,,1.6850005367480492,,0.5117717347059347,304.9393333333333,1.9413629160063506,,8.571428571428562,3.6333333333333333,11.764705882352944,,4.1015625,5.176666666666667,23.094688221709013,,6.923076923076921,3.94,18.130311614730886,
2023-09-01,22780.933,307.288,3.8,5.33,4.38,0.0,,1.6850005367480492,,0.35958417568349166,306.03433333333334,2.3079279255283858,,0.0,3.6999999999999997,11.764705882352944,,0.0,5.26,23.094688221709013,,5.035971223021574,4.1499999999999995,24.079320113314463,
2023-10-01,22960.6,307.531,3.8,5.33,4.8,0.788672702737836,,2.4869623787602047,,0.07907890968732456,307.002,2.3888319194555807,,0.0,3.8,11.764705882352944,,0.0,5.33,23.094688221709013,,9.589041095890405,4.449999999999999,35.977337110481585,
2023-11-01,22960.6,308.024,3.7,5.33,4.5,0.0,,2.4869623787602047,,0.16030904201527196,307.6143333333333,2.552970475036287,,-2.631578947368407,3.766666666666667,8.823529411764719,,0.0,5.33,23.094688221709013,,-6.25,4.56,27.478753541076493,
2023-12-01,22960.6,308.742,3.7,5.33,4.02,0.0,,2.4869623787602047,,0.2330987195803047,308.099,2.7920201361051555,,0.0,3.733333333333333,8.823529411764719,,0.0,5.33,23.094688221709013,,-10.66666666666668,4.44,13.881019830028318,
